num	weight
0	propaganda
1	left-center
2	very high
3	high
4	left
5	extreme right
6	fake news
7	conspiracy
8	right-center
9	right
10	fake news
11	low
12	right
13	left
14	very high
15	right
16	fake news
17	fake news
18	left
19	satire
20	center
21	mixed
22	satire
23	extreme right
24	extreme left
25	high
26	satire
27	pro-science
28	hate
29	satire
30	left-center
31	left-center
32	satire
33	hate
34	mixed
35	satire
36	center
37	high
38	extreme right
39	extreme right
40	fake news
41	conspiracy
42	right-center
43	left
44	fake news
45	satire
46	low
47	high
48	hate
49	very high
50	high
51	propaganda
52	extreme right
53	center
54	mixed
55	right
56	right
57	pro-science
58	satire
59	right-center
60	extreme right
61	left
62	high
63	fake news
64	mixed
65	satire
66	right
67	pro-science
68	right
69	hate
70	very high
71	very high
72	pro-science
73	high
74	extreme right
75	fake news
76	center
77	mixed
78	center
79	high
80	low
81	right-center
82	very high
83	extreme right
84	right-center
85	extreme right
86	left-center
87	left-center
88	very high
89	right
90	conspiracy
91	fake news
92	right-center
93	center
94	very high
95	fake news
96	fake news
97	high
98	conspiracy
99	high
100	mixed
101	high
102	left-center
103	low
104	pro-science
105	extreme right
106	fake news
107	extreme right
108	hate
109	extreme left
110	extreme right
111	satire
112	left
113	fake news
114	right
115	high
116	mixed
117	extreme right
118	fake news
119	mixed
120	center
121	very high
122	low
123	left-center
124	satire
125	left-center
126	right-center
127	fake news
128	hate
129	satire
130	center
131	high
132	high
133	propaganda
134	propaganda
135	hate
136	hate
137	left-center
138	mixed
139	center
140	hate
141	low
142	left-center
143	left-center
144	extreme right
145	satire
146	right-center
147	center
148	left
149	low
150	left-center
151	high
152	very high
153	propaganda
154	mixed
155	extreme right
156	pro-science
157	pro-science
158	right
159	pro-science
160	right
161	high
162	hate
163	fake news
164	right
165	mixed
166	mixed
167	pro-science
168	extreme right
169	satire
170	mixed
171	fake news
172	extreme right
173	right
174	high
175	hate
176	hate
177	right
178	low
179	right
180	fake news
181	right-center
182	pro-science
183	pro-science
184	conspiracy
185	pro-science
186	extreme left
187	left-center
188	pro-science
189	conspiracy
190	satire
191	low
192	left-center
193	right-center
194	fake news
195	right
196	satire
197	right-center
198	conspiracy
199	extreme right
200	extreme right
201	high
202	left-center
203	center
204	satire
205	high
206	propaganda
207	very high
208	high
209	extreme right
210	mixed
211	mixed
212	high
213	right
214	hate
215	right
216	left-center
217	conspiracy
218	very high
219	satire
220	left-center
221	pro-science
222	extreme left
223	mixed
224	right
225	high
226	mixed
227	satire
228	right
229	left-center
230	high
231	high
232	very high
233	extreme right
234	conspiracy
235	left-center
236	right-center
237	left-center
238	extreme right
239	very high
240	low
241	mixed
242	left-center
243	pro-science
244	right-center
245	satire
246	mixed
247	high
248	extreme left
249	left-center
250	pro-science
251	conspiracy
252	extreme right
253	fake news
254	hate
255	hate
256	very high
257	propaganda
258	hate
259	right
260	hate
261	pro-science
262	high
263	center
264	pro-science
265	left
266	mixed
267	conspiracy
268	pro-science
269	extreme left
270	pro-science
271	high
272	extreme left
273	mixed
274	high
275	center
276	right-center
277	hate
278	right
279	satire
280	left
281	extreme right
282	fake news
283	left-center
284	hate
285	left-center
286	right-center
287	fake news
288	hate
289	mixed
290	satire
291	hate
292	hate
293	fake news
294	center
295	right
296	right
297	center
298	pro-science
299	extreme right
300	low
301	fake news
302	high
303	low
304	pro-science
305	fake news
306	right
307	conspiracy
308	high
309	right
310	left-center
311	center
312	fake news
313	fake news
314	mixed
315	extreme left
316	right
317	right
318	high
319	right
320	left-center
321	satire
322	high
323	satire
324	extreme right
325	left-center
326	extreme right
327	right
328	satire
329	extreme right
330	hate
331	propaganda
332	conspiracy
333	fake news
334	satire
335	left-center
336	satire
337	conspiracy
338	right
339	high
340	right
341	fake news
342	conspiracy
343	extreme right
344	high
345	fake news
346	mixed
347	right
348	left
349	extreme left
350	extreme right
351	extreme left
352	left-center
353	extreme left
354	right
355	mixed
356	left-center
357	high
358	hate
359	high
360	high
361	right-center
362	high
363	right-center
364	mixed
365	right
366	fake news
367	high
368	right-center
369	low
370	mixed
371	high
372	propaganda
373	satire
374	high
375	right
376	center
377	right
378	center
379	conspiracy
380	conspiracy
381	pro-science
382	left
383	right
384	fake news
385	very high
386	mixed
387	right-center
388	conspiracy
389	propaganda
390	very high
391	satire
392	fake news
393	mixed
394	high
395	high
396	propaganda
397	low
398	extreme left
399	high
400	mixed
401	center
402	conspiracy
403	very high
404	center
405	high
406	extreme left
407	fake news
408	left-center
409	right-center
410	fake news
411	conspiracy
412	hate
413	conspiracy
414	high
415	extreme right
416	extreme left
417	high
418	satire
419	pro-science
420	high
421	mixed
422	high
423	satire
424	low
425	high
426	extreme left
427	conspiracy
428	right-center
429	pro-science
430	satire
431	right
432	extreme right
433	right-center
434	conspiracy
435	right
436	high
437	mixed
438	high
439	right
440	propaganda
441	extreme right
442	left-center
443	very high
444	satire
445	right
446	hate
447	left-center
448	mixed
449	right
450	extreme right
451	mixed
452	left-center
453	pro-science
454	satire
455	left
456	mixed
457	right-center
458	fake news
459	low
460	pro-science
461	satire
462	conspiracy
463	satire
464	satire
465	very high
466	high
467	pro-science
468	mixed
469	hate
470	low
471	extreme right
472	high
473	right-center
474	satire
475	conspiracy
476	conspiracy
477	extreme left
478	high
479	propaganda
480	fake news
481	mixed
482	center
483	satire
484	center
485	left-center
486	mixed
487	left-center
488	satire
489	hate
490	satire
491	extreme right
492	left-center
493	satire
494	conspiracy
495	high
496	left-center
497	satire
498	very high
499	extreme left
500	right
501	fake news
502	conspiracy
503	left-center
504	satire
505	fake news
506	pro-science
507	hate
508	very high
509	conspiracy
510	fake news
511	right
512	extreme right
513	right-center
514	extreme left
515	high
516	hate
517	pro-science
518	low
519	high
520	very high
521	high
522	conspiracy
523	high
524	high
525	left
526	high
527	extreme right
528	propaganda
529	high
530	fake news
531	extreme left
532	conspiracy
533	satire
534	extreme right
